benchmark,treatment,run_id,analysis,fitness
chg_env,ED0_AS1_ENV16_TSK0,774,fdom,19.62
chg_env,ED0_AS1_ENV16_TSK0,775,fdom,20.77
chg_env,ED0_AS1_ENV16_TSK0,776,fdom,14.51
chg_env,ED0_AS1_ENV16_TSK0,777,fdom,15.42
chg_env,ED0_AS1_ENV16_TSK0,778,fdom,22.43
chg_env,ED0_AS1_ENV16_TSK0,779,fdom,23.01
chg_env,ED0_AS1_ENV16_TSK0,780,fdom,26.8
chg_env,ED0_AS1_ENV16_TSK0,781,fdom,15.82
chg_env,ED0_AS1_ENV16_TSK0,782,fdom,30.84
chg_env,ED0_AS1_ENV16_TSK0,783,fdom,22.47
chg_env,ED0_AS1_ENV16_TSK0,784,fdom,16.67
chg_env,ED0_AS1_ENV16_TSK0,785,fdom,22.03
chg_env,ED0_AS1_ENV16_TSK0,786,fdom,16.73
chg_env,ED0_AS1_ENV16_TSK0,787,fdom,22.97
chg_env,ED0_AS1_ENV16_TSK0,788,fdom,25.22
chg_env,ED0_AS1_ENV16_TSK0,789,fdom,23.58
chg_env,ED0_AS1_ENV16_TSK0,790,fdom,19.19
chg_env,ED0_AS1_ENV16_TSK0,791,fdom,23.12
chg_env,ED0_AS1_ENV16_TSK0,792,fdom,40.94
chg_env,ED0_AS1_ENV16_TSK0,793,fdom,16.23
chg_env,ED0_AS1_ENV16_TSK0,794,fdom,18.83
chg_env,ED0_AS1_ENV16_TSK0,795,fdom,15.63
chg_env,ED0_AS1_ENV16_TSK0,796,fdom,19.34
chg_env,ED0_AS1_ENV16_TSK0,797,fdom,25.09
chg_env,ED0_AS1_ENV16_TSK0,798,fdom,18.97
chg_env,ED0_AS1_ENV16_TSK0,799,fdom,18.99
chg_env,ED0_AS1_ENV16_TSK0,800,fdom,15.8
chg_env,ED0_AS1_ENV2_TSK0,401,fdom,198.69
chg_env,ED0_AS1_ENV2_TSK0,402,fdom,178.48
chg_env,ED0_AS1_ENV2_TSK0,403,fdom,221.43
chg_env,ED0_AS1_ENV2_TSK0,404,fdom,197.15
chg_env,ED0_AS1_ENV2_TSK0,405,fdom,223.39
chg_env,ED0_AS1_ENV2_TSK0,406,fdom,200.42
